Код,Валюта,Курс,Номинал,Изменение,Дата,Валюта (Код)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-16,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-16,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-16,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-16,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-16,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-16,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-16,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-16,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-16,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-16,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-16,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-16,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-16,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-16,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-16,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-16,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-16,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-16,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-16,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-16,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-16,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-16,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-16,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-16,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-16,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-16,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-16,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-16,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-16,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-16,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-16,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-16,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-16,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-16,Японская иена (JPY)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-15,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-15,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-15,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-15,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-15,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-15,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-15,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-15,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-15,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-15,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-15,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-15,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-15,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-15,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-15,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-15,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-15,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-15,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-15,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-15,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-15,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-15,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-15,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-15,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-15,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-15,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-15,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-15,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-15,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-15,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-15,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-15,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-15,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-15,Японская иена (JPY)
AUD,Австралийский доллар,46.998,1,0.0756,2023-01-14,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.7496,1,-0.1195,2023-01-14,Азербайджанский манат (AZN)
AMD,Армянский драм,17.0401,100,-0.062,2023-01-14,Армянский драм (AMD)
BYN,Белорусский рубль,25.9353,1,0.1251,2023-01-14,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2167,1,-0.0257,2023-01-14,Болгарский лев (BGN)
BRL,Бразильский реал,13.1475,1,0.1176,2023-01-14,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2853,1,0.0712,2023-01-14,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.4938,100,0.219,2023-01-14,Венгерский форинт (HUF)
DKK,Датская крона,97.8573,10,-0.08,2023-01-14,Датская крона (DKK)
USD,Доллар США,67.5744,1,-0.2031,2023-01-14,Доллар США (USD)
EUR,Евро,73.1131,1,0.3223,2023-01-14,Евро (EUR)
INR,Индийская рупия,81.7747,100,-0.1838,2023-01-14,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-14,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6082,100,-0.0559,2023-01-14,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.5116,1,0.0256,2023-01-14,Канадский доллар (CAD)
KGS,Киргизский сом,78.8683,100,-0.2371,2023-01-14,Киргизский сом (KGS)
CNY,Китайский юань,10.0307,1,0.0291,2023-01-14,Китайский юань (CNY)
MDL,Молдавский лей,35.2589,10,-0.0693,2023-01-14,Молдавский лей (MDL)
NOK,Норвежская крона,68.3502,10,0.3408,2023-01-14,Норвежская крона (NOK)
PLN,Польский злотый,15.5809,1,0.0281,2023-01-14,Польский злотый (PLN)
RON,Румынский лей,14.8228,1,0.0407,2023-01-14,Румынский лей (RON)
SGD,Сингапурский доллар,51.0766,1,0.1314,2023-01-14,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.8342,1,-0.0866,2023-01-14,Специальные права заимствования (XDR)
TJS,Таджикский сомони,65.9874,10,-0.2248,2023-01-14,Таджикский сомони (TJS)
TRY,Турецкая лира,35.9865,10,-0.1134,2023-01-14,Турецкая лира (TRY)
TMT,Туркменский манат,19.307,1,-0.058,2023-01-14,Туркменский манат (TMT)
UZS,Узбекский сум,59.7983,0,-0.0647,2023-01-14,Узбекский сум (UZS)
UAH,Украинская гривна,18.3043,10,-0.0513,2023-01-14,Украинская гривна (UAH)
CZK,Чешская крона,30.2861,10,-0.0299,2023-01-14,Чешская крона (CZK)
SEK,Шведская крона,65.0442,10,0.4807,2023-01-14,Шведская крона (SEK)
CHF,Швейцарский франк,72.7702,1,-0.0306,2023-01-14,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.3996,10,0.278,2023-01-14,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4384,0,0.0336,2023-01-14,Южнокорейская вона (KRW)
JPY,Японская иена,52.29,100,0.9045,2023-01-14,Японская иена (JPY)
AUD,Австралийский доллар,46.9224,1,-0.7775,2023-01-13,Австралийский доллар (AUD)
AZN,Азербайджанский манат,39.8691,1,-0.731,2023-01-13,Азербайджанский манат (AZN)
AMD,Армянский драм,17.1021,100,-0.329,2023-01-13,Армянский драм (AMD)
BYN,Белорусский рубль,25.8102,1,0.0429,2023-01-13,Белорусский рубль (BYN)
BGN,Болгарский лев,37.2424,1,-0.5976,2023-01-13,Болгарский лев (BGN)
BRL,Бразильский реал,13.0299,1,-0.1439,2023-01-13,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,82.2141,1,-1.6316,2023-01-13,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.2748,100,-0.2551,2023-01-13,Венгерский форинт (HUF)
DKK,Датская крона,97.9373,10,-1.5728,2023-01-13,Датская крона (DKK)
USD,Доллар США,67.7775,1,-1.2427,2023-01-13,Доллар США (USD)
EUR,Евро,72.7908,1,-1.3453,2023-01-13,Евро (EUR)
INR,Индийская рупия,81.9585,100,-1.2935,2023-01-13,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-13,Исландская крона (ISK)
KZT,Казахстанский тенге,14.6641,100,-0.2805,2023-01-13,Казахстанский тенге (KZT)
CAD,Канадский доллар,50.486,1,-0.941,2023-01-13,Канадский доллар (CAD)
KGS,Киргизский сом,79.1054,100,-1.4504,2023-01-13,Киргизский сом (KGS)
CNY,Китайский юань,10.0016,1,-0.138,2023-01-13,Китайский юань (CNY)
MDL,Молдавский лей,35.3282,10,-0.6239,2023-01-13,Молдавский лей (MDL)
NOK,Норвежская крона,68.0094,10,-0.8455,2023-01-13,Норвежская крона (NOK)
PLN,Польский злотый,15.5528,1,-0.2453,2023-01-13,Польский злотый (PLN)
RON,Румынский лей,14.7821,1,-0.2579,2023-01-13,Румынский лей (RON)
SGD,Сингапурский доллар,50.9452,1,-0.8912,2023-01-13,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,90.9208,1,-1.6636,2023-01-13,Специальные права заимствования (XDR)
TJS,Таджикский сомони,66.2122,10,-1.2549,2023-01-13,Таджикский сомони (TJS)
TRY,Турецкая лира,36.0999,10,-0.6669,2023-01-13,Турецкая лира (TRY)
TMT,Туркменский манат,19.365,1,-0.3551,2023-01-13,Туркменский манат (TMT)
UZS,Узбекский сум,59.863,0,-1.1883,2023-01-13,Узбекский сум (UZS)
UAH,Украинская гривна,18.3556,10,-0.4247,2023-01-13,Украинская гривна (UAH)
CZK,Чешская крона,30.316,10,-0.5407,2023-01-13,Чешская крона (CZK)
SEK,Шведская крона,64.5635,10,-1.4618,2023-01-13,Шведская крона (SEK)
CHF,Швейцарский франк,72.8008,1,-1.9692,2023-01-13,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.1216,10,-0.3915,2023-01-13,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,54.4048,0,-0.9797,2023-01-13,Южнокорейская вона (KRW)
JPY,Японская иена,51.3855,100,-0.7603,2023-01-13,Японская иена (JPY)
AUD,Австралийский доллар,47.6999,1,-0.3584,2023-01-12,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.6001,1,-0.3466,2023-01-12,Азербайджанский манат (AZN)
AMD,Армянский драм,17.4311,100,-0.1857,2023-01-12,Армянский драм (AMD)
BYN,Белорусский рубль,25.7673,1,-0.1503,2023-01-12,Белорусский рубль (BYN)
BGN,Болгарский лев,37.84,1,-0.227,2023-01-12,Болгарский лев (BGN)
BRL,Бразильский реал,13.1738,1,0.031,2023-01-12,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,83.8457,1,-1.029,2023-01-12,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.5299,100,-0.2525,2023-01-12,Венгерский форинт (HUF)
DKK,Датская крона,99.5101,10,-0.5979,2023-01-12,Датская крона (DKK)
USD,Доллар США,69.0202,1,-0.5892,2023-01-12,Доллар США (USD)
EUR,Евро,74.1361,1,-0.4077,2023-01-12,Евро (EUR)
INR,Индийская рупия,83.252,100,-0.8359,2023-01-12,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-12,Исландская крона (ISK)
KZT,Казахстанский тенге,14.9446,100,-0.1064,2023-01-12,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.427,1,-0.6135,2023-01-12,Канадский доллар (CAD)
KGS,Киргизский сом,80.5558,100,-0.6877,2023-01-12,Киргизский сом (KGS)
CNY,Китайский юань,10.1396,1,-0.0804,2023-01-12,Китайский юань (CNY)
MDL,Молдавский лей,35.9521,10,-0.2357,2023-01-12,Молдавский лей (MDL)
NOK,Норвежская крона,68.8549,10,-1.1874,2023-01-12,Норвежская крона (NOK)
PLN,Польский злотый,15.7981,1,-0.1177,2023-01-12,Польский злотый (PLN)
RON,Румынский лей,15.04,1,-0.136,2023-01-12,Румынский лей (RON)
SGD,Сингапурский доллар,51.8364,1,-0.4543,2023-01-12,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,92.5844,1,-0.6254,2023-01-12,Специальные права заимствования (XDR)
TJS,Таджикский сомони,67.4671,10,-0.6079,2023-01-12,Таджикский сомони (TJS)
TRY,Турецкая лира,36.7668,10,-0.3173,2023-01-12,Турецкая лира (TRY)
TMT,Туркменский манат,19.7201,1,-0.1683,2023-01-12,Туркменский манат (TMT)
UZS,Узбекский сум,61.0513,0,-0.6332,2023-01-12,Узбекский сум (UZS)
UAH,Украинская гривна,18.7803,10,-0.1603,2023-01-12,Украинская гривна (UAH)
CZK,Чешская крона,30.8567,10,-0.1774,2023-01-12,Чешская крона (CZK)
SEK,Шведская крона,66.0253,10,-1.0707,2023-01-12,Шведская крона (SEK)
CHF,Швейцарский франк,74.77,1,-0.8924,2023-01-12,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,40.5131,10,-0.5164,2023-01-12,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.3845,0,-0.5401,2023-01-12,Южнокорейская вона (KRW)
JPY,Японская иена,52.1458,100,-0.6686,2023-01-12,Японская иена (JPY)
AUD,Австралийский доллар,48.0583,1,-0.6527,2023-01-11,Австралийский доллар (AUD)
AZN,Азербайджанский манат,40.9467,1,-0.4064,2023-01-11,Азербайджанский манат (AZN)
AMD,Армянский драм,17.6168,100,-0.1839,2023-01-11,Армянский драм (AMD)
BYN,Белорусский рубль,25.9176,1,-0.0225,2023-01-11,Белорусский рубль (BYN)
BGN,Болгарский лев,38.067,1,0.326,2023-01-11,Болгарский лев (BGN)
BRL,Бразильский реал,13.1428,1,-0.1585,2023-01-11,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.8747,1,0.184,2023-01-11,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7824,100,-0.1125,2023-01-11,Венгерский форинт (HUF)
DKK,Датская крона,10.0108,1,0.0855,2023-01-11,Датская крона (DKK)
USD,Доллар США,69.6094,1,-0.6908,2023-01-11,Доллар США (USD)
EUR,Евро,74.5438,1,-0.5347,2023-01-11,Евро (EUR)
INR,Индийская рупия,84.0879,100,-0.9917,2023-01-11,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-11,Исландская крона (ISK)
KZT,Казахстанский тенге,15.051,100,-0.1225,2023-01-11,Казахстанский тенге (KZT)
CAD,Канадский доллар,52.0405,1,-0.0878,2023-01-11,Канадский доллар (CAD)
KGS,Киргизский сом,81.2435,100,-0.8062,2023-01-11,Киргизский сом (KGS)
CNY,Китайский юань,10.22,1,-0.0667,2023-01-11,Китайский юань (CNY)
MDL,Молдавский лей,36.1878,10,-0.4118,2023-01-11,Молдавский лей (MDL)
NOK,Норвежская крона,70.0423,10,-0.9042,2023-01-11,Норвежская крона (NOK)
PLN,Польский злотый,15.9158,1,-0.0801,2023-01-11,Польский злотый (PLN)
RON,Румынский лей,15.176,1,-0.0566,2023-01-11,Румынский лей (RON)
SGD,Сингапурский доллар,52.2907,1,-0.5269,2023-01-11,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.2098,1,-0.0287,2023-01-11,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.075,10,-0.7429,2023-01-11,Таджикский сомони (TJS)
TRY,Турецкая лира,37.0841,10,-0.376,2023-01-11,Турецкая лира (TRY)
TMT,Туркменский манат,19.8884,1,-0.1974,2023-01-11,Туркменский манат (TMT)
UZS,Узбекский сум,61.6845,0,-0.528,2023-01-11,Узбекский сум (UZS)
UAH,Украинская гривна,18.9406,10,-0.1449,2023-01-11,Украинская гривна (UAH)
CZK,Чешская крона,31.0341,10,0.3501,2023-01-11,Чешская крона (CZK)
SEK,Шведская крона,67.096,10,-0.0074,2023-01-11,Шведская крона (SEK)
CHF,Швейцарский франк,75.6624,1,-0.3789,2023-01-11,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.0295,10,-0.2832,2023-01-11,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,55.9246,0,-0.6095,2023-01-11,Южнокорейская вона (KRW)
JPY,Японская иена,52.8144,100,0.2102,2023-01-11,Японская иена (JPY)
AUD,Австралийский доллар,48.711,1,1.0573,2023-01-10,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.3531,1,-0.0219,2023-01-10,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8007,100,-0.071,2023-01-10,Армянский драм (AMD)
BYN,Белорусский рубль,25.9401,1,0.2357,2023-01-10,Белорусский рубль (BYN)
BGN,Болгарский лев,37.741,1,-0.5567,2023-01-10,Болгарский лев (BGN)
BRL,Бразильский реал,13.3013,1,-0.18,2023-01-10,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.6907,1,-0.1012,2023-01-10,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.8949,100,0.1722,2023-01-10,Венгерский форинт (HUF)
DKK,Датская крона,99.2534,10,-1.4686,2023-01-10,Датская крона (DKK)
USD,Доллар США,70.3002,1,-0.0373,2023-01-10,Доллар США (USD)
EUR,Евро,75.0785,1,-0.5768,2023-01-10,Евро (EUR)
INR,Индийская рупия,85.0796,100,0.2011,2023-01-10,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-10,Исландская крона (ISK)
KZT,Казахстанский тенге,15.1735,100,-0.0848,2023-01-10,Казахстанский тенге (KZT)
CAD,Канадский доллар,52.1283,1,0.2455,2023-01-10,Канадский доллар (CAD)
KGS,Киргизский сом,82.0497,100,-0.0436,2023-01-10,Киргизский сом (KGS)
CNY,Китайский юань,10.2867,1,0.3918,2023-01-10,Китайский юань (CNY)
MDL,Молдавский лей,36.5996,10,-0.115,2023-01-10,Молдавский лей (MDL)
NOK,Норвежская крона,70.9465,10,-0.5645,2023-01-10,Норвежская крона (NOK)
PLN,Польский злотый,15.9959,1,-0.0537,2023-01-10,Польский злотый (PLN)
RON,Румынский лей,15.2326,1,0.056,2023-01-10,Румынский лей (RON)
SGD,Сингапурский доллар,52.8176,1,0.5065,2023-01-10,Сингапурский доллар (SGD)
XDR,Специальные права заимствования,93.2385,1,-0.3695,2023-01-10,Специальные права заимствования (XDR)
TJS,Таджикский сомони,68.8179,10,-0.1242,2023-01-10,Таджикский сомони (TJS)
TRY,Турецкая лира,37.4601,10,-0.1264,2023-01-10,Турецкая лира (TRY)
TMT,Туркменский манат,20.0858,1,-0.0106,2023-01-10,Туркменский манат (TMT)
UZS,Узбекский сум,62.2125,0,-0.4464,2023-01-10,Узбекский сум (UZS)
UAH,Украинская гривна,19.0855,10,-0.0532,2023-01-10,Украинская гривна (UAH)
CZK,Чешская крона,30.684,10,-0.2771,2023-01-10,Чешская крона (CZK)
SEK,Шведская крона,67.1034,10,-0.2884,2023-01-10,Шведская крона (SEK)
CHF,Швейцарский франк,76.0413,1,-0.1392,2023-01-10,Швейцарский франк (CHF)
ZAR,Южноафриканский ранд,41.3127,10,-0.1035,2023-01-10,Южноафриканский ранд (ZAR)
KRW,Южнокорейская вона,56.5341,0,0.9093,2023-01-10,Южнокорейская вона (KRW)
JPY,Японская иена,52.6042,100,-0.4567,2023-01-10,Японская иена (JPY)
AUD,Австралийский доллар,47.6537,1,-0.9385,2023-01-09,Австралийский доллар (AUD)
AZN,Азербайджанский манат,41.375,1,-0.9649,2023-01-09,Азербайджанский манат (AZN)
AMD,Армянский драм,17.8717,100,-0.4242,2023-01-09,Армянский драм (AMD)
BYN,Белорусский рубль,25.7044,1,-0.5994,2023-01-09,Белорусский рубль (BYN)
BGN,Болгарский лев,38.2977,1,-0.7931,2023-01-09,Болгарский лев (BGN)
BRL,Бразильский реал,13.4813,1,-0.1682,2023-01-09,Бразильский реал (BRL)
GBP,Британский фунт стерлингов,84.7919,1,-1.8478,2023-01-09,Британский фунт стерлингов (GBP)
HUF,Венгерский форинт,18.7227,100,-0.3311,2023-01-09,Венгерский форинт (HUF)
DKK,Датская крона,10.0722,1,-0.2262,2023-01-09,Датская крона (DKK)
USD,Доллар США,70.3375,1,-1.6403,2023-01-09,Доллар США (USD)
EUR,Евро,75.6553,1,-0.4212,2023-01-09,Евро (EUR)
INR,Индийская рупия,84.8785,100,-2.1901,2023-01-09,Индийская рупия (INR)
ISK,Исландская крона,24.1259,100,0.0739,2023-01-09,Исландская крона (ISK)
KZT,Казахстанский тенге,15.2583,100,-0.3473,2023-01-09,Казахстанский тенге (KZT)
CAD,Канадский доллар,51.8828,1,-1.1786,2023-01-09,Канадский доллар (CAD)
KGS,Киргизский сом,82.0933,100,-1.9144,2023-01-09,Киргизский сом (KGS)
